time,open,close,high,low,volume,Unnamed: 0
1628707980000,3.0416,3.0416,3.0416,3.0416,0.69795917,
1628708100000,3.0345,3.0418,3.0418,3.0345,0.3088309899999999,
1628708520000,3.0457,3.0457,3.0457,3.0457,3.85208111,
1628708580000,3.0497,3.0497,3.0497,3.0497,7.69077687,
1628710080000,3.0491,3.0491,3.0491,3.0491,3.84772369,
1628710200000,3.0578,3.0578,3.0578,3.0578,0.02592464,
1628712180000,3.0602,3.0592,3.0602,3.0592,19.07565793,
1628713020000,3.0562,3.0583,3.0583,3.0562,284.2702291,
1628713080000,3.0715,3.0715,3.0715,3.0715,0.02900431,
1628713260000,3.0642,3.0616,3.0642,3.0616,7.88391421,
1628713320000,3.0571,3.0558,3.0571,3.0558,11.50641498,
1628713380000,3.055,3.055,3.055,3.055,0.27048626,
1628713500000,3.0568,3.0568,3.0568,3.0568,0.02583817,
1628713740000,3.0538,3.052,3.0538,3.052,72.50731892,
1628713800000,3.0525,3.0487,3.0525,3.0487,0.15785652,
1628713920000,3.0459,3.0459,3.0459,3.0459,0.13615172,
1628714040000,3.0455,3.0509,3.0509,3.0455,7.81451065,
1628714160000,3.0476,3.0476,3.0476,3.0476,0.02135819,
1628714280000,3.0527,3.055,3.055,3.0527,0.1200561,
1628715420000,3.0344,3.0335,3.0344,3.0335,80.32609441,
1628715480000,3.0333,3.0333,3.0333,3.0333,0.69950562,
1628715600000,3.029,3.029,3.029,3.029,0.00655358,
1628715660000,3.0264,3.0264,3.0264,3.0264,7.74676162,
1628715720000,3.0297,3.0297,3.0297,3.0297,0.22662894,
1628715900000,3.0109,3.01,3.0109,3.01,19.43698909,
1628715960000,3.0078,3.0078,3.0078,3.0078,0.65134047,
1628716020000,3.0,2.9945,3.0,2.9716,8565.449697,
1628716080000,2.9978,3.0131,3.0131,2.9978,27.73060916,
1628716140000,3.0167,3.0094,3.0167,3.0094,973.86877332,
1628716200000,3.0008,3.0105,3.0105,3.0004,211.722917,
1628716260000,2.9995,2.9964,2.9995,2.9964,23.4390768,
1628716320000,3.0034,3.0034,3.0034,3.0034,0.02508871,
1628716380000,3.0067,3.0067,3.0067,3.0067,0.23676336,
1628716440000,3.003,3.003,3.003,3.003,0.01542809,
